,0
37,12-13 yaşlarımdayken televizyon da denk gelip izlemeye başladığım ve 21 yaşıma yani şu ana kadar başa sarıp sarıp izlediğim dizidir Doctor Who. Çocukken her kalp kırıcı olay olsun çok sevinçli olduğun Bi gün olsun birilerine gidip anlatmak istermşsin yeni öğrendim çünkü benim hayatımda öyle Bi insan yoktu. Hep kendi kendimi iyileştiriyordum. Bu yaşımda fark ettim ki benim bu özel &#39;insanım&#39; Doctor. :&#39;)
38,Barış özcan bu işi çok geliştirdi
39,Sayın barış bey bana ufak bir panik atak yaşattınız. <br>Ben o melek bölümünü izlerken her seferinde korkudan titreyerek ağlıyorum. Bir de ağlayan meleklerin tekrar çıktığı bir bölüm vardı. Tam bir travma benim için.
40,güneşte açılan delik hakkında video beklemekteyiz Sn. Özcan
41,En sevdiğin doctor who ?
42,Harika bir video olmuş ❤
43,Benim en sevdiğim doctor  9th christopher eccleston
44,en sondaki abla kimdi
45,En sevdiğim dizilerden ya
46,inanın bana doctor who izleyebileceğiniz en iyi bilim kurgu dizisidir. daha iyisi gelmedi gelemez. Doctor who ya ortaokulda başlamıştım ve bilimi bana o kadar çok sevdirdi ki şu an uzay bilimleri okuyorum. herkesin bir doktora ihtiyacı vardır ;)
47,Böyle bir odada ne güzel uyunur şimdi he
48,15 yıldır izliyorum ağlayan melekler bölümü oscar almalıııı
49,Barış abi gezegenler yuvarlak mı yoksa düz mü diye bir video yaparmısın? Merak ediyorum yuvarlak olduğu söyleniyor güneşte dahil video yaparmısın doğru mu değil mi diye rica ediyorum 🥺🥺
50,Bedavadan tardis yada sessizlik kutusuna sahip olmak 👏👏👏
51,"Sevgili Barış Özcan, yıllardır Türkiye&#39;de çok fazla bilinmeyen, söylediğimde insanların &quot;O ne ya?&quot; dediği ama benim çok büyük bir hayranlıkla hem kendim hem çevremdekilere zorla sevdirdiğim bu Muhteşem Ötesi dizinin sizin gibi ülkemize çok şey katmış ve bir çok insana sesini duyurabilecek bir kanal tarafından paylaşılması benim için o kadar önemli ki anlatamam. İnanın videonun sonlarına yaklaşırken gözlerim doldu, arkaplan müziği olarak Doctor Who&#39;muzun müziğini koymanız ise içimde bir şeyleri depreştirdi inanın. Jodie Whittaker sonrası olan bölümleri her ne kadar fazla izlememiş olsam da yılların bende bıraktığı naçizane diziyi sizin gibi bir İdol&#39;ün izlemesi ve paylaşması inanın çok mutluluk verici. Çok teşekkür ederim :)"
52,Bütün bir videoyu müthiş bir zevkle izledim ve sonunda ağlayan melek olması ayrıca David Tennant’ın o efsane uyarı repliğiyle videonun sona ermesi videoyu gerçek bir başyapıta dönüştürmüş gecenin bu saatinde kalkıp izleyesim geldi en başından
53,Yani söyle ki ne yazacağımı dahi bilmiyorum çünkü kelimeler kifayetsiz kalıyor. Videoyu izlerken nefesim kesildi. Müthiş birr video olmuş eline ağzına sağlık Barış abi.
54,"Selam Barış Bey, teknolojiyi bırakıp doğaya dönmeye çağıran bir kitap yazdım, sana gönderir isem, tanıtımını yapar mısın?"
55,çok eskiden beri izlerim. böylesine bir dizi yeterince bilinmiyor
56,tüylerim ürperdi doctor who sevgim kabardı teşekkür ederiz..
57,Videonun sonunda ki dediğiniz gibi Don’t Blink 😁 Ne bölümdü ama
58,allah kahretsin çok kıskandım
59,Bence Barış Abi Zaman Yolcusu Saklama Artık 😂
60,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=09m52s"">09:52</a> Üstelik ne demek ya, spesifik konularda ISO standardı olmayan markaların ürünlerini kullanan insan kaldı mı cidden günümüzde, zaten must."
61,Offffff adamsın Barış Özcan adammmm. Yaşıyosun bu hayatı reis. Ağzın bal yiye bal bal. Bekliyoruz yeni videolarını.
62,Barış Özcan olabilmek gercekten cok buyuk bir ayricalik imrenerek takip ettigim tek kisisiniz
63,Abi sen bu kadar bilgiyi nasıl ediniyon
64,Tescillenmiş zaten ama dünyanın en iyi dizisi. Dw evreni çok başka❤
65,"Doctor Who en sevdiğim bilim kurgu dizilerinden bir tanesidir. Eski sezonları ve Yeni sezonları adeta bir başyapıt. Yalnız, eğer başlayacaksanız, sadece 1 ile 10. sezonlar arasını izleyin. 10. sezondan sonra hemen bırakın ve dahasını sakın izlemeyin. Maalesef Doctor Who&#39;nun sahibi olan BBC son zamanlarda &quot;Woke Culture&quot; denen bir ajendayı diziye tamamen entegre etmiş durumda ve dizinin kalitesi 90% düştü.<br>Onun dışında en sevdiğim Doktor 12. Doktordur ve kendisi Doktorun kendisine en yakın olan karakter bence.<br><br>1 - 10. sezonlar arası gerçekten mükemmel bir dizi. Dizinin 60.yıldönümünde böyle bir şey yaptırman da harika olmuş Bariş abim. Eline sağlık."
66,Çok güzel çoook 🙏🏻🤘🏻🤘🏻
67,Doctor Who benim ilk izlediğim dizilerden birisi ve yeri çok farklı bende ancak son sezonların hiçbir ilgi çekiciliği olmadığı için izleyememem üzücü bir durumç Sondaki ağlayan melek gösterimide çok hoş olmuş ::)
68,çok kıskandım çok...
69,14yasimda izlemeye baslamistim mukemmel saheser
70,inanılmaz
71,Dizi sevdim.
72,Meleği görünce içim ürperdi. O bölümde çok korkmuştum.
73,Yüzüme bak
74,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=11m39s"">11:39</a> &quot;blink&quot; favori bölümlerinden biri 🤩"
75,bu sayede istihbaratlar da ÖZEL kayıtlarımızı dinleyemez di mi barış ABİ ! güzel kılıf koç....
76,Mehmet abi = osman olm la tuvalet var burda gel :D
77,👍Yenl sdtyonuz hayirli uğurlu olsun siz alylece ve ekibinizle nice nice sağlık sihatli çalışmalar diliyorum Barış abi
